Row_id,Year,Plot id,Farm,Harvesting mechanism,Harvesting Type,Speed(ft/sec),Total Fruit,Total Stems,Stem Height(cm),No of Branches,Fruit Gain(gm)
1,2024,B_101,BHF,3,1,0.81,37,31,13.93333333,5.666666667,1584.3333
2,2024,B_101,BHF,3,1,1.62,127,20,10.5,2.666666667,1584.3333
3,2024,B_101,BHF,3,1,2.43,170,38,17.76666667,6.666666667,1584.3333
4,2024,B_102,BHF,3,1,0.68,72,31,20.73333333,7.333333333,3663.3333
5,2024,B_102,BHF,3,1,1.36,132,24,9.433333333,2.666666667,3663.3333
6,2024,B_102,BHF,3,1,2.04,169,33,12.9,9,3663.3333
7,2024,B_103,BHF,3,1,1.07,229,25,8.866666667,7,1631.3333
8,2024,B_103,BHF,3,1,2.14,191,43,16.3,6.666666667,1631.3333
9,2024,B_103,BHF,3,1,3.21,131,48,18.76666667,9,1631.3333
10,2024,B_104,BHF,3,1,1,103,37,20.03333333,9,1023.3333
11,2024,B_104,BHF,3,1,2,123,38,18.33333333,11,1023.3333
12,2024,B_104,BHF,3,1,3,34,28,19.2,8.666666667,1023.3333
13,2024,B_105,BHF,4,0,0.016859345,87,38,15.93333333,7.333333333,4103.3333
14,2024,B_105,BHF,4,0,0.03371869,97,24,15.83333333,11.66666667,4103.3333
15,2024,B_105,BHF,4,0,0.050578035,201,25,14.96666667,8.666666667,4103.3333
16,2024,B_106,BHF,3,1,0.66,69,31,15.3,6,1358.3333
17,2024,B_106,BHF,3,1,1.32,107,31,11.3,2.333333333,1358.3333
18,2024,B_106,BHF,3,1,1.98,78,38,17.93333333,4.666666667,1358.3333
19,2024,B_107,BHF,3,1,0.9,83,45,16.03333333,6,1043.3333
20,2024,B_107,BHF,3,1,1.8,87,39,11.1,3.666666667,1043.3333
21,2024,B_107,BHF,3,1,2.7,75,34,19.3,4.666666667,1043.3333
22,2024,B_108,BHF,4,0,0.012962963,83,36,19.56666667,8,4163.3333
23,2024,B_108,BHF,4,0,0.025925926,124,34,14.4,4.333333333,4163.3333
24,2024,B_108,BHF,4,0,0.038888889,84,44,13.4,5.333333333,4163.3333
25,2024,B_201,BHF,3,1,0.565,139,46,16.83333333,12,2790.3333
26,2024,B_201,BHF,3,1,1.13,247,63,15.2,3.666666667,2790.3333
27,2024,B_201,BHF,3,1,1.695,79,34,14.5,7,2790.3333
28,2024,B_202,BHF,3,1,1.065,94,35,17.33333333,10.66666667,2994.3333
29,2024,B_202,BHF,3,1,2.13,27,27,13,1.666666667,2994.3333
30,2024,B_202,BHF,3,1,3.195,148,13,15.5,7,2994.3333
31,2024,B_203,BHF,3,1,1.43,49,21,12.73333333,2.666666667,919.3333
32,2024,B_203,BHF,3,1,2.145,96,24,14,6,919.3333
33,2024,B_204,BHF,3,1,0.74,41,36,22,10.33333333,2682.3333
34,2024,B_204,BHF,3,1,1.48,98,34,21,4.333333333,2682.3333
35,2024,B_204,BHF,3,1,2.22,124,59,19.63333333,2.333333333,2682.3333
36,2024,B_205,BHF,4,0,0.013534416,33,41,25.16666667,11.33333333,2149.3333
37,2024,B_205,BHF,4,0,0.027068832,108,69,20.06666667,3.666666667,2149.3333
38,2024,B_205,BHF,4,0,0.040603248,87,45,22.33333333,9.333333333,2149.3333
39,2024,B_206,BHF,4,0,0.014610729,43,40,16.5,9.666666667,1883.3333
40,2024,B_206,BHF,4,0,0.029221457,21,57,19.26666667,3.333333333,1883.3333
41,2024,B_206,BHF,4,0,0.043832186,8,25,12.66666667,2.333333333,1883.3333
42,2024,B_207,BHF,3,1,0.975,52,58,19.7,6.333333333,1103.3333
43,2024,B_207,BHF,3,1,1.95,78,71,18.33333333,5,1103.3333
44,2024,B_207,BHF,3,1,2.925,109,53,19.3,6,1103.3333
45,2024,B_208,BHF,3,1,0.78,186,33,22.66666667,7.333333333,1917.3333
46,2024,B_208,BHF,3,1,1.56,124,22,16,5.666666667,1917.3333
47,2024,B_208,BHF,3,1,2.34,32,12,18.86666667,7.666666667,1917.3333
48,2024,B_301,BHF,3,1,0.485,43,12,10.66666667,6.333333333,1930.3333
49,2024,B_301,BHF,3,1,0.97,88,66,16.73333333,4.666666667,1930.3333
50,2024,B_301,BHF,3,1,1.455,60,24,32,4,1930.3333
51,2024,B_302,BHF,3,1,0.99,91,32,19.3,5.333333333,2659.3333
52,2024,B_302,BHF,3,1,1.98,50,57,16.26666667,6,2659.3333
53,2024,B_302,BHF,3,1,2.97,103,17,24.33333333,3,2659.3333
54,2024,B_303,BHF,3,1,0.95,61,23,10,5,2113.3333
55,2024,B_303,BHF,3,1,1.9,121,34,21.5,2.666666667,2113.3333
56,2024,B_303,BHF,3,1,2.85,83,17,21,3.333333333,2113.3333
57,2024,B_304,BHF,4,0,0.019824413,67,44,18,10,3694.3333
58,2024,B_304,BHF,4,0,0.039648825,115,22,23.66666667,6,3694.3333
59,2024,B_304,BHF,4,0,0.059473238,118,21,19,2.333333333,3694.3333
60,2024,B_305,BHF,3,1,0.64,57,35,12.83333333,4.333333333,409.3333
61,2024,B_305,BHF,3,1,1.28,144,49,18.53333333,8,409.3333
62,2024,B_305,BHF,3,1,1.92,89,12,17.33333333,5.333333333,409.3333
63,2024,B_306,BHF,4,0,0.019824413,28,31,15.83333333,7,4304.3333
64,2024,B_306,BHF,4,0,0.039648825,72,44,14.8,5.666666667,4304.3333
65,2024,B_306,BHF,4,0,0.059473238,80,17,17,4.666666667,4304.3333
68,2024,B_307,BHF,3,1,1.545,78,68,18.6,4,1054.3333
69,2024,B_308,BHF,3,1,0.605,70,14,23.33333333,9.333333333,1368.3333
70,2024,B_308,BHF,3,1,1.21,44,42,25.63333333,5,1368.3333
71,2024,B_308,BHF,3,1,1.815,42,23,12.33333333,3.666666667,1368.3333
72,2024,B_401,BHF,3,1,0.675,60,42,23.6,7,2262.3333
73,2024,B_401,BHF,3,1,1.35,75,43,21.26666667,3.666666667,2262.3333
74,2024,B_401,BHF,3,1,2.025,94,45,20.96666667,7.333333333,2262.3333
75,2024,B_402,BHF,3,1,0.98,122,53,20.93333333,9,2385.3333
76,2024,B_402,BHF,3,1,1.96,157,53,15.26666667,9,2385.3333
77,2024,B_402,BHF,3,1,2.94,69,31,10.13333333,3.333333333,2385.3333
78,2024,B_403,BHF,3,1,0.755,110,43,21.06666667,12,3773.3333
79,2024,B_403,BHF,3,1,1.51,122,38,23.86666667,8.333333333,3773.3333
80,2024,B_403,BHF,3,1,2.265,132,47,25.5,8.333333333,3773.3333
81,2024,B_404,BHF,3,1,0.675,122,48,26.96666667,7.666666667,4400.3333
82,2024,B_404,BHF,3,1,1.35,83,42,18.76666667,5,4400.3333
83,2024,B_404,BHF,3,1,2.025,169,35,18.5,9.666666667,4400.3333
84,2024,B_405,BHF,3,1,1.01,72,25,18.13333333,11.66666667,520.3333
85,2024,B_405,BHF,3,1,2.02,70,39,17.76666667,7.333333333,520.3333
86,2024,B_405,BHF,3,1,3.03,70,31,19.36666667,7,520.3333
87,2024,B_406,BHF,4,0,0.021525216,26,22,21.7,9,5284.3333
88,2024,B_406,BHF,4,0,0.043050431,80,32,23.1,12,5284.3333
89,2024,B_406,BHF,4,0,0.064575647,115,25,11.46666667,5.666666667,5284.3333
90,2024,B_407,BHF,4,0,0.012962963,93,29,18.83333333,8.333333333,5415.3333
91,2024,B_407,BHF,4,0,0.025925926,187,57,18.93333333,4,5415.3333
92,2024,B_407,BHF,4,0,0.038888889,86,55,20.5,6.666666667,5415.3333
93,2024,B_408,BHF,3,1,0.645,32,52,24.66666667,7,2137.3333
94,2024,B_408,BHF,3,1,1.29,143,44,11.56666667,4.333333333,2137.3333
95,2024,B_408,BHF,3,1,1.935,64,25,13,8.666666667,2137.3333
96,2024,B_501,BHF,3,1,0.725,96,34,8.333333333,3.666666667,4585.3333
97,2024,B_501,BHF,3,1,1.45,219,48,18.53333333,6.333333333,4585.3333
98,2024,B_501,BHF,3,1,2.175,136,23,24.33333333,8.333333333,4585.3333
99,2024,B_502,BHF,4,0,0.014583334,128,56,12.5,9.666666667,15875.3333
100,2024,B_502,BHF,4,0,0.029166667,150,58,28.16666667,10,15875.3333
101,2024,B_502,BHF,4,0,0.043750001,116,34,22.5,5,15875.3333
102,2024,B_503,BHF,3,1,0.79,105,25,10.33333333,8.333333333,2179.3333
103,2024,B_503,BHF,3,1,1.58,155,26,19.23333333,8.666666667,2179.3333
