y_observed,y_predicted,residual,model
4103.3335,7352.924,-3249.5905000000002,MLP
1043.3333,1972.7158,-929.3824999999999,MLP
4163.3335,6013.551,-1850.2175000000007,MLP
2149.3333,8333.155,-6183.8217,MLP
1930.3333,2256.3047,-325.97140000000013,MLP
2659.3333,2225.886,433.4472999999998,MLP
3694.3333,7418.626,-3724.2927000000004,MLP
2262.3333,2301.4263,-39.0930000000003,MLP
2385.3333,1647.4524,737.8808999999999,MLP
5415.3335,4880.9346,534.3989000000001,MLP
5415.3335,8917.996,-3502.6624999999995,MLP
2137.3333,1949.4739,187.85939999999982,MLP
2179.3333,2217.6052,-38.27190000000019,MLP
4598.3335,6760.0723,-2161.7388,MLP
4598.3335,3790.753,807.5804999999996,MLP
1345.3333,2281.6536,-936.3203000000001,MLP
1881.3333,2130.0547,-248.72140000000013,MLP
2404.3333,2298.6997,105.63359999999966,MLP
4436.3335,2243.1223,2193.2111999999997,MLP
4069.3333,2414.1887,1655.1445999999996,MLP
762.3333,2060.049,-1297.7157,MLP
1814.3333,2336.9753,-522.642,MLP
8057.3335,9109.955,-1052.6215000000002,MLP
1860.3333,2100.4053,-240.0719999999999,MLP
2772.3333,2669.9182,102.41509999999971,MLP
2772.3333,2217.5083,554.8249999999998,MLP
4325.3335,2482.125,1843.2084999999997,MLP
1411.3333,2313.6526,-902.3192999999999,MLP
4677.3335,2299.0657,2378.2677999999996,MLP
2554.3333,2324.7075,229.6257999999998,MLP
5562.3335,2644.0464,2918.2870999999996,MLP
2239.3333,2572.7766,-333.44330000000036,MLP
5667.3335,7712.3345,-2045.0010000000002,MLP
2497.3333,3102.4797,-605.1464000000001,MLP
7952.3335,2473.5781,5478.7554,MLP
1403.3333,3036.017,-1632.6836999999998,MLP
1347.3333,2395.4639,-1048.1306000000002,MLP
3266.3333,2177.462,1088.8712999999998,MLP
3266.3333,2415.43,850.9033,MLP
1503.3333,2280.8936,-777.5602999999999,MLP
3079.3333,2264.6953,814.6379999999999,MLP
4314.3335,5962.3047,-1647.9712,MLP
8646.333,9660.485,-1014.152,MLP
6408.3335,5148.6035,1259.7299999999996,MLP
6408.3335,5762.5264,645.8071,MLP
8310.333,5553.1895,2757.1435,MLP
5161.3335,6470.1753,-1308.8418000000001,MLP
1966.3333,2839.373,-873.0397,MLP
13135.333,9174.501,3960.8320000000003,MLP
6486.3335,6147.016,339.3175000000001,MLP
5576.3335,4362.141,1214.1925,MLP
3035.3333,5716.029,-2680.6957000000007,MLP
3160.3333,5539.3433,-2379.0100000000007,MLP
7497.3335,10562.967,-3065.633500000001,MLP
3475.3333,5735.275,-2259.9417,MLP
5345.3335,5494.3823,-149.04880000000048,MLP
3661.3333,5573.633,-1912.2997,MLP
4720.3335,5159.985,-439.65149999999994,MLP
6389.3335,5146.102,1243.2314999999999,MLP
16470.334,9101.122,7369.2119999999995,MLP
16470.334,10651.4375,5818.896499999999,MLP
9496.333,11030.258,-1533.9249999999993,MLP
3182.3333,6027.9033,-2845.57,MLP
2042.25,2278.7366,-236.48660000000018,MLP
2301.75,2413.6797,-111.92970000000014,MLP
2103.75,2423.1428,-319.3928000000001,MLP
987.6,1849.8391,-862.2390999999999,MLP
2215.2,1751.7151,463.4848999999999,MLP
2215.2,1775.0608,440.13919999999985,MLP
2491.2,1879.0369,612.1630999999998,MLP
1837.2,1449.2446,387.95540000000005,MLP
1772.4,1865.5635,-93.16349999999989,MLP
1798.2,1998.6509,-200.45090000000005,MLP
2644.2,2037.0581,607.1418999999999,MLP
4446.0,9013.309,-4567.308999999999,MLP
5220.0,9463.92,-4243.92,MLP
7096.2,9414.663,-2318.4630000000006,MLP
13191.0,10549.32,2641.6800000000003,MLP
12408.6,11117.744,1290.8559999999998,MLP
