graph,model,edrop,weights,val_rmse_g,test_rmse_g,val_r2,test_r2,best_epoch
hybrid_kmin2,SAGE,0.36,dupS5_E3,1445.3931884765625,1708.396728515625,0.7551010847091675,0.7308685779571533,719.0
,,,,1427.966064453125,1794.187255859375,0.7609710097312927,0.7031599283218384,515.0
,,,,1445.8751220703125,1804.543212890625,0.7549377679824829,0.6997233629226685,824.0
hybrid_kmin2,SAGE,0.32,dupS4_E2,1510.9412841796875,1813.13232421875,0.7323852777481079,0.6968580484390259,360.0
,,,,1443.8018798828125,1840.547119140625,0.7556400299072266,0.6876217126846313,651.0
hybrid_kmin2,SAGE,0.28,dupS4_E2,1479.8790283203125,1843.6756591796875,0.74327552318573,0.6865588426589966,474.0
,,,,1537.59912109375,1850.663818359375,0.7228588461875916,0.6841782331466675,516.0
hybrid_kmin2,SAGE,0.28,dupS3_E2,1433.5037841796875,1856.3553466796875,0.7591134905815125,0.6822327375411987,630.0
hybrid_kmin2,SAGE,0.28,none,1470.2828369140625,1859.2305908203125,0.7465941905975342,0.6812475919723511,546.0
,,,,1372.07080078125,1860.662353515625,0.7793174982070923,0.6807564496994019,708.0
,,,,1451.828369140625,1876.7847900390625,0.752915620803833,0.6752001047134399,510.0
hybrid_kmin2,SAGE,0.36,dupS4_E2,1433.8494873046875,1879.3790283203125,0.7589973211288452,0.6743015050888062,528.0
,,,,1468.2869873046875,1889.393310546875,0.7472816705703735,0.6708213090896606,495.0
hybrid_kmin2,SAGE,0.32,dupS3_E2,1477.900390625,1894.4161376953125,0.7439615726470947,0.6690688133239746,339.0
hybrid_kmin2,SAGE,0.28,dupS5_E3,1394.6781005859375,1908.9000244140625,0.7719853520393372,0.6639891266822815,781.0
,,,,1411.69677734375,1911.0390625,0.7663866877555847,0.6632356643676758,426.0
hybrid_kmin2,SAGE,0.36,dupS3_E2,1487.530029296875,1915.8172607421875,0.7406141757965088,0.6615495085716248,381.0
hybrid_kmin2,SAGE,0.32,dupS5_E3,1418.4561767578125,1923.1959228515625,0.7641441226005554,0.6589374542236328,425.0
,,,,1468.188232421875,1934.9234619140625,0.7473156452178955,0.654765248298645,500.0
,SAGE_best(hybrid dupS5_E3 ed0.28),,,1408.603271484375,1936.8997802734373,0.7674093842506409,0.6540595889091492,
hybrid_kmin2,SAGE,0.32,none,1522.8668212890625,1938.2734375,0.7281441688537598,0.6535687446594238,467.0
,,,,1562.954345703125,1954.03515625,0.7136433124542236,0.647911548614502,249.0
,ValStack(Ridge α=1.0),,,1342.8070904211424,1983.0411715537048,0.7886306300955552,0.6373810993859601,
hybrid_kmin2,SAGE,0.36,none,1495.22216796875,2114.064453125,0.7379245758056641,0.5878802537918091,644.0
,MLP_only,,,1672.9844970703125,2172.27294921875,0.6719057559967041,0.564873218536377,
,SAGE,,,1843.8753662109373,2183.489013671875,0.601454496383667,0.5603682994842529,2.0
,GCN,,,1994.396728515625,2224.283203125,0.5337295532226562,0.5437874794006348,15.0
hybrid_kmin2,GCN,,none,2027.3201904296875,2249.65966796875,0.5182080864906311,0.5333184003829956,16.0
